686,1377,795,-2653
687,1240,850,-2722
688,1246,904,-2586
689,1450,927,-2519
690,1184,888,-2657
691,1299,868,-2654
692,1390,957,-2538
693,1323,977,-2533
694,1448,897,-2546
695,1202,836,-2675
696,1267,963,-2539
697,1264,1001,-2506
698,1365,768,-2657
699,1323,1022,-2546
700,1234,860,-2640
701,1264,861,-2602
702,1271,876,-2569
703,1334,803,-2622
704,1359,978,-2535
705,1337,772,-2662
706,1367,934,-2543
707,1230,1011,-2538
708,1230,842,-2702
709,1413,920,-2620
710,1408,856,-2644
711,1219,859,-2665
712,1391,960,-2510
713,1346,825,-2586
714,1309,876,-2587
715,1395,815,-2612
716,1237,836,-2704
717,1312,995,-2511
718,1470,920,-2584
719,1173,964,-2571
720,1356,1019,-2519
721,1425,864,-2556
722,1164,919,-2641
723,1358,980,-2524
724,1331,996,-2503
725,1382,946,-2573
726,1373,819,-2644
727,1420,930,-2554
728,1231,968,-2578
729,1335,928,-2569
730,1372,861,-2611
731,1300,875,-2578
732,1284,803,-2700
733,1329,796,-2634
734,1404,991,-2562
735,1436,832,-2636
736,1207,879,-2679
737,1307,783,-2699
738,1238,911,-2665
739,1363,960,-2484
740,1239,904,-2587
741,1306,854,-2622
742,1206,910,-2640
743,1304,908,-2617
744,1403,877,-2661
745,1253,980,-2532
746,1317,886,-2621
747,1438,867,-2587
748,1267,961,-2525
749,1324,933,-2559
750,1349,989,-2537
751,1280,1032,-2525
752,1273,976,-2517
753,1318,989,-2534
754,1315,1002,-2473
755,1265,894,-2585
756,1460,866,-2580
757,1257,993,-2515
758,1311,985,-2499
759,1250,985,-2514
760,1398,941,-2527
761,1318,923,-2624
762,1438,888,-2528
763,1462,844,-2581
764,1324,882,-2610
765,1386,844,-2628
766,1305,995,-2478
767,1193,868,-2669
768,1271,986,-2532
769,1298,883,-2675
770,1300,951,-2508
771,1203,936,-2641
772,1411,876,-2617
773,1426,836,-2576
774,1336,778,-2615
775,1276,932,-2623
776,1234,841,-2691
777,1365,1013,-2521
778,1193,874,-2661
779,1411,932,-2593
780,1419,883,-2593
781,1415,952,-2566
782,1438,919,-2509
783,1319,937,-2553
784,1433,871,-2598
785,1377,996,-2560
786,1311,784,-2683
787,1247,1012,-2541
788,1248,974,-2565
789,1332,800,-2605
790,1219,881,-2684
791,1446,838,-2595
792,1342,894,-2557
793,1437,965,-2554
794,1395,934,-2540
795,1310,958,-2520
796,1409,981,-2543
797,1327,903,-2536
798,1318,819,-2642
799,1399,883,-2548
800,1364,898,-2558
801,1360,850,-2609
802,1310,895,-2645
803,1203,948,-2589
804,1280,980,-2583
805,1310,977,-2558
806,1204,987,-2571
807,1431,915,-2525
808,1227,855,-2646
809,1435,820,-2648
810,1383,946,-2527
811,1327,978,-2539
812,1334,995,-2507
813,1220,895,-2662
814,1230,916,-2577
815,1258,918,-2622
816,1339,871,-2575
817,1401,974,-2565
818,1206,998,-2547
819,1271,993,-2473
820,1355,985,-2466
821,1269,979,-2519
822,1275,991,-2573
823,1274,943,-2477
824,1283,844,-2684
825,1348,977,-2523
826,1213,905,-2607
827,1397,844,-2615
828,1310,909,-2575
829,1423,959,-2570
830,1432,844,-2576
831,1381,844,-2598
832,1288,1026,-2507
833,1357,947,-2579
834,1206,883,-2655
835,1320,833,-2609
836,1406,972,-2553
837,1185,962,-2592
838,1324,862,-2611
839,1239,925,-2566
840,1334,857,-2594
841,1272,954,-2541
842,1383,983,-2511
843,1243,825,-2654
844,1384,1020,-2523
845,1258,962,-2551
846,1249,900,-2606
847,1274,797,-2694
848,1444,835,-2593
849,1309,949,-2606
850,1403,947,-2538
851,1269,847,-2609
852,1413,914,-2579
853,1416,934,-2591
854,1406,847,-2636
855,1237,911,-2618
856,1359,952,-2457
857,1430,892,-2540
858,1235,917,-2624
859,1366,972,-2574
860,1252,832,-2664
861,1208,913,-2637
862,1467,931,-2562
863,1245,1007,-2508
864,1372,918,-2591
865,1319,840,-2650
866,1359,818,-2615
867,1360,786,-2647
868,1366,826,-2599
869,1444,870,-2553
870,1456,846,-2553
871,1203,951,-2563
872,1178,926,-2605
873,1306,980,-2526
874,1201,948,-2615
875,1277,823,-2719
876,1325,759,-2637
877,1412,911,-2550
878,1251,994,-2522
879,1318,800,-2634
880,1405,944,-2566
881,1322,834,-2633
882,1453,914,-2540
883,1177,922,-2641
884,1313,898,-2633
885,1341,760,-2628
886,1389,842,-2585
887,1234,850,-2715
888,1374,768,-2668
889,1228,812,-2652
890,1387,933,-2581
891,1229,876,-2666
892,1348,878,-2574
893,1458,905,-2578
894,1263,961,-2540
895,1264,978,-2515
896,1227,969,-2532
897,1285,823,-2711
898,1271,915,-2539
899,1365,857,-2597
900,1346,792,-2637
901,1375,818,-2630
902,1250,828,-2645
903,1424,934,-2540
904,1194,910,-2648
905,1401,793,-2679
906,1315,998,-2581
907,1416,866,-2607
908,1319,776,-2685
909,1280,855,-2657
910,1388,924,-2559
911,1188,943,-2590
912,1392,847,-2615
913,1401,974,-2515
914,1332,835,-2613
915,1412,820,-2650
916,1343,888,-2576
917,1406,884,-2597
918,1390,1008,-2507
919,1361,942,-2580
920,1160,919,-2607
921,1310,782,-2626
922,1316,865,-2647
923,1286,887,-2658
924,1406,825,-2626
925,1245,819,-2650
926,1420,869,-2627
927,1439,847,-2653
928,1449,930,-2565
929,1222,887,-2643
930,1321,872,-2613
931,1228,948,-2607
932,1321,972,-2540
933,1222,829,-2694
934,1338,854,-2576
935,1434,852,-2568
936,1364,883,-2610
937,1259,931,-2617
938,1360,902,-2551
939,1376,821,-2668
940,1321,856,-2646
941,1353,838,-2600
942,1266,1004,-2504
943,1442,826,-2594
944,1351,931,-2567
945,1241,1008,-2530
946,1331,756,-2639
947,1233,845,-2706
948,1288,884,-2654
949,1306,961,-2577
950,1340,903,-2584
951,1315,994,-2548
952,1401,912,-2614
953,1185,897,-2651
954,1444,860,-2597
955,1252,918,-2606
956,1202,926,-2586
957,1192,929,-2582
958,1417,879,-2577
959,1440,874,-2633
960,1375,980,-2530
961,1259,962,-2500
962,1416,946,-2566
963,1267,837,-2665
964,1412,934,-2555
965,1240,1000,-2499
966,1439,861,-2578
967,1272,926,-2597
968,1316,767,-2662
969,1389,1006,-2514
970,1381,966,-2504
971,1246,975,-2528
972,1208,960,-2558
973,1246,930,-2609
974,1395,952,-2561
975,1258,911,-2608
976,1360,956,-2542
977,1396,913,-2598
978,1429,940,-2506
979,1368,968,-2510
980,1412,796,-2651
981,1275,824,-2723
982,1379,976,-2536
983,1465,843,-2601
984,1227,833,-2705
985,1473,898,-2581
986,1388,821,-2686
987,1383,850,-2589
